NAME                       VERSION                            TYPE   
Cython                     0.29.35                            python  
Jinja2                     3.1.2                              python  
MarkupSafe                 2.1.2                              python  
Pillow                     9.4.0                              python  
PyWavelets                 1.4.1                              python  
PyYAML                     6.0                                python  
adduser                    3.129ubuntu1                       deb     
albumentations             1.3.0                              python  
anyio                      3.6.2                              python  
apt                        2.6.0                              deb     
apt-utils                  2.6.0                              deb     
asgiref                    3.6.0                              python  
base-files                 12.3ubuntu2                        deb     
base-passwd                3.6.1                              deb     
bash                       5.2.15-2ubuntu1                    deb     
binutils                   2.40-2ubuntu4.1                    deb     
binutils-common            2.40-2ubuntu4.1                    deb     
binutils-x86-64-linux-gnu  2.40-2ubuntu4.1                    deb     
bsdutils                   1:2.38.1-4ubuntu1                  deb     
ca-certificates            20230311                           deb     
certifi                    2023.5.7                           python  
charset-normalizer         3.1.0                              python  
click                      8.1.3                              python  
cmake                      3.26.3                             python  
colorama                   0.4.6                              python  
coloredlogs                15.0.1                             python  
contourpy                  1.0.7                              python  
coreutils                  9.1-1ubuntu2                       deb     
cpp                        4:12.2.0-3ubuntu1                  deb     
cpp-12                     12.2.0-17ubuntu1                   deb     
curl                       7.88.1-8ubuntu1                    deb     
cycler                     0.11.0                             python  
dash                       0.5.12-2ubuntu1                    deb     
debconf                    1.5.82                             deb     
debianutils                5.7-0.4                            deb     
diffutils                  1:3.8-4                            deb     
dirmngr                    2.2.40-1.1ubuntu1                  deb     
dpkg                       1.21.21ubuntu1                     deb     
e2fsprogs                  1.47.0-1ubuntu1                    deb     
easydict                   1.10                               python  
fastapi                    0.91.0                             python  
filelock                   3.12.0                             python  
findutils                  4.9.0-3ubuntu1                     deb     
flatbuffers                23.5.9                             python  
fonttools                  4.39.4                             python  
fsspec                     2023.5.0                           python  
g++                        4:12.2.0-3ubuntu1                  deb     
g++-12                     12.2.0-17ubuntu1                   deb     
gcc                        4:12.2.0-3ubuntu1                  deb     
gcc-12                     12.2.0-17ubuntu1                   deb     
gcc-12-base                12.2.0-17ubuntu1                   deb     
gcc-13-base                13-20230320-1ubuntu1               deb     
gnupg                      2.2.40-1.1ubuntu1                  deb     
gnupg-l10n                 2.2.40-1.1ubuntu1                  deb     
gnupg-utils                2.2.40-1.1ubuntu1                  deb     
gpg                        2.2.40-1.1ubuntu1                  deb     
gpg-agent                  2.2.40-1.1ubuntu1                  deb     
gpg-wks-client             2.2.40-1.1ubuntu1                  deb     
gpg-wks-server             2.2.40-1.1ubuntu1                  deb     
gpgconf                    2.2.40-1.1ubuntu1                  deb     
gpgsm                      2.2.40-1.1ubuntu1                  deb     
gpgv                       2.2.40-1.1ubuntu1                  deb     
grep                       3.8-5                              deb     
gzip                       1.12-1ubuntu1                      deb     
h11                        0.14.0                             python  
hostname                   3.23+nmu1ubuntu1                   deb     
huggingface-hub            0.14.1                             python  
humanfriendly              10.0                               python  
idna                       3.3                                python  
imageio                    2.29.0                             python  
init-system-helpers        1.65.2                             deb     
insightface                0.7.3                              python  
joblib                     1.2.0                              python  
jq                         1.6-2.1ubuntu3                     deb     
kiwisolver                 1.4.4                              python  
krb5-locales               1.20.1-1build1                     deb     
lazy_loader                0.2                                python  
libacl1                    2.3.1-3                            deb     
libapt-pkg6.0              2.6.0                              deb     
libasan8                   13-20230320-1ubuntu1               deb     
libassuan0                 2.5.5-5                            deb     
libatomic1                 13-20230320-1ubuntu1               deb     
libattr1                   1:2.5.1-4                          deb     
libaudit-common            1:3.0.9-1                          deb     
libaudit1                  1:3.0.9-1                          deb     
libbinutils                2.40-2ubuntu4.1                    deb     
libblas3                   3.11.0-2                           deb     
libblkid1                  2.38.1-4ubuntu1                    deb     
libbrotli1                 1.0.9-2build8                      deb     
libbsd0                    0.11.7-4                           deb     
libbz2-1.0                 1.0.8-5build1                      deb     
libc-bin                   2.37-0ubuntu2                      deb     
libc-dev-bin               2.37-0ubuntu2                      deb     
libc6                      2.37-0ubuntu2                      deb     
libc6-dev                  2.37-0ubuntu2                      deb     
libcap-ng0                 0.8.3-1build2                      deb     
libcap2                    1:2.66-3ubuntu2                    deb     
libcc1-0                   13-20230320-1ubuntu1               deb     
